Species,HabitatType,status,StartLatitude,StartLongitude,DepthLower,Weight_kg,Number
Polymastia grimaldii,Unknown,,72.8006791666667,22.5126791666667,284.28999999999996,0.0,21.0
Geodia barretti,Unknown,,72.8006791666667,22.5126791666667,304.55,0.0,6.0
Thenea,Unknown,,72.8006791666667,22.5126791666667,285.05,0.0,1.0
Porifera,Unknown,,72.7050991666667,20.518235,894.625,0.0,1.0
Polymastia hemisphaerica,Unknown,,72.7050991666667,20.518235,368.08,0.0,2.0
Geodia barretti,Unknown,,72.7050991666667,20.518235,304.55,0.0,2.0
Thenea,Unknown,,72.7050991666667,20.518235,285.05,0.0,38.0
Porifera,Unknown,,72.7050991666667,20.518235,894.625,0.0,2.0
Polymastiidae,Unknown,,72.7050991666667,20.518235,435.0,0.0,5.0
Polymastia hemisphaerica,Unknown,,72.7050991666667,20.518235,368.08,2.0,74.0
Craniella,Unknown,,72.7050991666667,20.518235,410.19,1.0,89.0
Polymastiidae,Unknown,,72.5267466666667,16.7837666666667,435.0,0.0,14.0
Polymastia hemisphaerica,Unknown,,72.5267466666667,16.7837666666667,368.08,0.0,14.0
Porifera,Unknown,,72.5267466666667,16.7837666666667,894.625,0.0,1.0
Craniella,Unknown,,72.5267466666667,16.7837666666667,410.19,14.0,2558.0
Porifera,Unknown,,72.5267466666667,16.7837666666667,894.625,3.0,148.0
Haplosclerida,Unknown,,73.0794125,16.3044783333333,435.0,0.0,57.0
Coelosphaeridae,Unknown,,73.0794125,16.3044783333333,435.0,29.0,1.0
Polymastiidae,Unknown,,73.0794125,16.3044783333333,435.0,2.0,129.0
Polymastia hemisphaerica,Unknown,,73.0794125,16.3044783333333,368.08,0.0,11.0
Polymastia thielei,Unknown,,73.216155,18.3731991666667,294.45,1.0,46.0
Tentorium semisuberites,Unknown,,73.216155,18.3731991666667,1120.0,0.0,92.0
Craniella,Unknown,,73.216155,18.3731991666667,410.19,6.0,368.0
Thenea,Unknown,,73.216155,18.3731991666667,285.05,6.0,2.0
Porifera,Unknown,,73.3342325,20.2448891666667,894.625,0.0,5.0
Polymastiidae,Unknown,,73.3342325,20.2448891666667,435.0,0.0,8.0
Polymastia grimaldii,Unknown,,73.3342325,20.2448891666667,284.28999999999996,0.0,2.0
Polymastiidae,Unknown,,73.3342325,20.2448891666667,435.0,0.0,20.0
Suberitidae,Unknown,,73.8521383333333,19.8304258333333,435.0,0.0,1.0
Porifera,Unknown,,73.8521383333333,19.8304258333333,894.625,0.0,2.0
Axinellida,Unknown,,73.8521383333333,19.8304258333333,435.0,0.0,1.0
Polymastia grimaldii,Unknown,,73.7458716666667,17.7444083333333,284.28999999999996,0.0,3.0
Polymastia hemisphaerica,Unknown,,73.7458716666667,17.7444083333333,368.08,0.0,0.0
Geodia,Unknown,,73.6231975,15.8357416666667,933.0,0.0,7.0
Porifera,Unknown,,73.6231975,15.8357416666667,894.625,0.0,4.0
Axinellida,Unknown,,73.6231975,15.8357416666667,435.0,0.0,4.0
Polymastia hemisphaerica,Unknown,,73.6231975,15.8357416666667,368.08,0.0,8.0
Porifera,Unknown,,73.6231975,15.8357416666667,894.625,0.0,2.0
Axinellida,Unknown,,73.6231975,15.8357416666667,435.0,0.0,11.0
Polymastia hemisphaerica,Unknown,,73.6231975,15.8357416666667,368.08,0.0,11.0
Tentorium semisuberites,Unknown,,73.6231975,15.8357416666667,1120.0,0.0,1.0
Craniella,Unknown,,73.6231975,15.8357416666667,410.19,0.0,36.0
Geodia barretti,Unknown,,74.3096783333333,17.2404966666667,304.55,0.0,37.0
Thenea,Unknown,,74.3096783333333,17.2404966666667,285.05,0.0,2.0
Porifera,Unknown,,74.8886775,16.7873691666667,894.625,0.0,8.0
Axinellida,Unknown,,74.8886775,16.7873691666667,435.0,0.0,5.0
Polymastia grimaldii,Unknown,,74.8886775,16.7873691666667,284.28999999999996,0.0,0.0
Craniella,Unknown,,75.466025,16.2285875,410.19,0.0,0.0
Craniella,Unknown,,75.466025,16.2285875,410.19,0.0,14.0
Polymastia grimaldii,Unknown,,75.466025,16.2285875,284.28999999999996,0.0,1.0
Suberitidae,Unknown,,75.466025,16.2285875,435.0,0.0,1.0
Halichondria,Unknown,,75.466025,16.2285875,435.0,0.0,2.0
Axinellida,Unknown,,75.3694883333333,14.64566,435.0,0.0,9.0
Biemna variantia,Unknown,,75.3694883333333,14.64566,435.0,0.0,16.0
Mycalidae,Unknown,,75.3694883333333,14.64566,435.0,0.0,8.0
Polymastia grimaldii,Unknown,,75.9018808333333,14.4114158333333,284.28999999999996,0.0,13.0
Suberitidae,Unknown,,75.9018808333333,14.4114158333333,435.0,0.0,55.0
Thenea,Unknown,,75.9018808333333,14.4114158333333,285.05,0.0,1.0
Halichondria,Unknown,,75.9018808333333,14.4114158333333,435.0,0.0,7.0
Axinellida,Unknown,,75.9018808333333,14.4114158333333,435.0,18.0,3.0
Mycalidae,Unknown,,75.9018808333333,14.4114158333333,435.0,0.0,1.0
Tentorium semisuberites,Unknown,,75.9018808333333,14.4114158333333,1120.0,1.0,83.0
Polymastia grimaldii,Unknown,,75.97706,15.7584766666667,284.28999999999996,0.0,1.0
Craniella,Unknown,,75.97706,15.7584766666667,410.19,0.0,3.0
Porifera,Unknown,,75.97706,15.7584766666667,894.625,0.0,4.0
Halichondria,Unknown,,76.5465616666667,14.7913533333333,435.0,0.0,9.0
Mycalidae,Unknown,,77.2809408333333,19.5213016666667,435.0,1.0,31.0
Polymastia grimaldii,Unknown,,76.8398641666666,19.9158583333334,284.28999999999996,0.0,10.0
Haplosclerida,Unknown,,77.03721,32.8712508333333,435.0,0.0,26.0
Suberitidae,Unknown,,77.03721,32.8712508333333,435.0,0.0,2.0
Halichondria,Unknown,,77.03721,32.8712508333333,435.0,0.0,26.0
Thenea,Unknown,,76.9803666666667,25.0483708333334,285.05,0.0,11.0
Halichondria,Unknown,,76.9803666666667,25.0483708333334,435.0,0.0,3.0
Tetilla,Unknown,,76.9803666666667,25.0483708333334,1138.5,0.0,3.0
Axinellida,Unknown,,76.9561058333334,23.8421583333334,435.0,0.0,10.0
Forcepia,Unknown,,76.9561058333334,23.8421583333334,435.0,2.0,208.0
Porifera,Unknown,,77.573065,25.941385,894.625,1.0,11.0
Halichondria,Unknown,,77.573065,25.941385,435.0,2.0,2.0
Dendroceratida,Unknown,,77.573065,25.941385,1132.5,0.0,27.0
Asconema foliatum,Unknown,,78.2079608333333,30.064615,405.64,0.0,12.0
Halichondria,Unknown,,78.2079608333333,30.064615,435.0,0.0,75.0
Leucosolenida,Unknown,,78.2079608333333,30.064615,435.0,0.0,25.0
Haplosclerida,Unknown,,78.2079608333333,30.064615,435.0,0.0,101.0
Mycalidae,Unknown,,78.1884733333333,27.3838708333334,435.0,1.0,197.0
Polymastiidae,Unknown,,78.1884733333333,27.3838708333334,435.0,0.0,5.0
