ISO3,Country,Area,Indicator,Value Text,Count,Share (%)
CUB,Cuba,Urban,ATH10,Fully,86,34.7
COD,Democratic Republic of the Congo,Urban,ATH10,No,62,25.0
DOM,Dominican Republic,Urban,ATH10,No response,19,7.7
ECU,Ecuador,Urban,ATH10,Fully,86,34.7
EGY,Egypt,Urban,ATH10,No,62,25.0
SLV,El Salvador,Urban,ATH10,Partially,81,32.7
ERI,Eritrea,Urban,ATH10,Partially,81,32.7
EST,Estonia,Urban,ATH10,Fully,86,34.7
ETH,Ethiopia,Urban,ATH10,Partially,81,32.7
FJI,Fiji,Urban,ATH10,Partially,81,32.7
GAB,Gabon,Urban,ATH10,No,62,25.0
GMB,Gambia,Urban,ATH10,No,62,25.0
GEO,Georgia,Urban,ATH10,Fully,86,34.7
GHA,Ghana,Urban,ATH10,Partially,81,32.7
GRC,Greece,Urban,ATH10,Fully,86,34.7
GRD,Grenada,Urban,ATH10,No response,19,7.7
GTM,Guatemala,Urban,ATH10,Partially,81,32.7
GIN,Guinea,Urban,ATH10,Partially,81,32.7
GUY,Guyana,Urban,ATH10,No,62,25.0
HTI,Haiti,Urban,ATH10,No,62,25.0
HND,Honduras,Urban,ATH10,Partially,81,32.7
HUN,Hungary,Urban,ATH10,Fully,86,34.7
IDN,Indonesia,Urban,ATH10,No,62,25.0
IRN,Iran (Islamic Republic of),Urban,ATH10,Partially,81,32.7
IRQ,Iraq,Urban,ATH10,No,62,25.0
ITA,Italy,Urban,ATH10,Fully,86,34.7
JAM,Jamaica,Urban,ATH10,Partially,81,32.7
JOR,Jordan,Urban,ATH10,Partially,81,32.7
KAZ,Kazakhstan,Urban,ATH10,Fully,86,34.7
KEN,Kenya,Urban,ATH10,Fully,86,34.7
KWT,Kuwait,Urban,ATH10,Fully,86,34.7
KGZ,Kyrgyzstan,Urban,ATH10,Partially,81,32.7
LAO,Lao People's Democratic Republic,Urban,ATH10,Fully,86,34.7
LBN,Lebanon,Urban,ATH10,Partially,81,32.7
LSO,Lesotho,Urban,ATH10,Fully,86,34.7
LBR,Liberia,Urban,ATH10,No,62,25.0
MDG,Madagascar,Urban,ATH10,No,62,25.0
MWI,Malawi,Urban,ATH10,Partially,81,32.7
MDV,Maldives,Urban,ATH10,No,62,25.0
MLI,Mali,Urban,ATH10,Fully,86,34.7
MHL,Marshall Islands,Urban,ATH10,Fully,86,34.7
MRT,Mauritania,Urban,ATH10,No,62,25.0
MUS,Mauritius,Urban,ATH10,Partially,81,32.7
MEX,Mexico,Urban,ATH10,No response,19,7.7
MNG,Mongolia,Urban,ATH10,Partially,81,32.7
MNE,Montenegro,Urban,ATH10,Partially,81,32.7
MAR,Morocco,Urban,ATH10,Fully,86,34.7
MOZ,Mozambique,Urban,ATH10,Fully,86,34.7
NAM,Namibia,Urban,ATH10,No,62,25.0
NPL,Nepal,Urban,ATH10,No,62,25.0
NIC,Nicaragua,Urban,ATH10,Fully,86,34.7
NER,Niger,Urban,ATH10,Fully,86,34.7
NGA,Nigeria,Urban,ATH10,Partially,81,32.7
NOR,Norway,Urban,ATH10,Fully,86,34.7
PSE,"occupied Palestinian territory, including east Jerusalem",Urban,ATH10,Fully,86,34.7
OMN,Oman,Urban,ATH10,Fully,86,34.7
PAK,Pakistan,Urban,ATH10,Fully,86,34.7
PAN,Panama,Urban,ATH10,No,62,25.0
PNG,Papua New Guinea,Urban,ATH10,No,62,25.0
PRY,Paraguay,Urban,ATH10,Partially,81,32.7
PER,Peru,Urban,ATH10,Partially,81,32.7
PHL,Philippines,Urban,ATH10,Partially,81,32.7
ROU,Romania,Urban,ATH10,Fully,86,34.7
LCA,Saint Lucia,Urban,ATH10,No,62,25.0
STP,Sao Tome and Principe,Urban,ATH10,No,62,25.0
SEN,Senegal,Urban,ATH10,No response,19,7.7
SRB,Serbia,Urban,ATH10,Fully,86,34.7
SYC,Seychelles,Urban,ATH10,No,62,25.0
SLE,Sierra Leone,Urban,ATH10,Partially,81,32.7
SLB,Solomon Islands,Urban,ATH10,Partially,81,32.7
SOM,Somalia,Urban,ATH10,No,62,25.0
ZAF,South Africa,Urban,ATH10,Partially,81,32.7
SSD,South Sudan,Urban,ATH10,Partially,81,32.7
LKA,Sri Lanka,Urban,ATH10,Partially,81,32.7
SDN,Sudan,Urban,ATH10,Partially,81,32.7
SYR,Syrian Arab Republic,Urban,ATH10,Partially,81,32.7
TJK,Tajikistan,Urban,ATH10,No,62,25.0
THA,Thailand,Urban,ATH10,Fully,86,34.7
TLS,Timor-Leste,Urban,ATH10,Fully,86,34.7
TGO,Togo,Urban,ATH10,Partially,81,32.7
TTO,Trinidad and Tobago,Urban,ATH10,No,62,25.0
TUN,Tunisia,Urban,ATH10,Partially,81,32.7
TKM,Turkmenistan,Urban,ATH10,Fully,86,34.7
TUV,Tuvalu,Urban,ATH10,Partially,81,32.7
UGA,Uganda,Urban,ATH10,Fully,86,34.7
UKR,Ukraine,Urban,ATH10,Partially,81,32.7
TZA,United Republic of Tanzania,Urban,ATH10,Fully,86,34.7
URY,Uruguay,Urban,ATH10,No,62,25.0
UZB,Uzbekistan,Urban,ATH10,Fully,86,34.7
VNM,Viet Nam,Urban,ATH10,Partially,81,32.7
YEM,Yemen,Urban,ATH10,Partially,81,32.7
ZMB,Zambia,Urban,ATH10,Fully,86,34.7
ZWE,Zimbabwe,Urban,ATH10,No,62,25.0
ALB,Albania,Rural,ATH10,Fully,58,23.4
AGO,Angola,Rural,ATH10,No,84,33.9
ARG,Argentina,Rural,ATH10,No,84,33.9
AZE,Azerbaijan,Rural,ATH10,Fully,58,23.4
BHR,Bahrain,Rural,ATH10,Partially,78,31.5
BGD,Bangladesh,Rural,ATH10,No response,28,11.3
BRB,Barbados,Rural,ATH10,Partially,78,31.5
BLR,Belarus,Rural,ATH10,Fully,58,23.4
BLZ,Belize,Rural,ATH10,No,84,33.9
BEN,Benin,Rural,ATH10,No,84,33.9
BTN,Bhutan,Rural,ATH10,No,84,33.9
BOL,Bolivia (Plurinational State of),Rural,ATH10,No response,28,11.3
BIH,Bosnia and Herzegovina,Rural,ATH10,No response,28,11.3
BWA,Botswana,Rural,ATH10,No response,28,11.3
BRA,Brazil,Rural,ATH10,No,84,33.9
VGB,British Virgin Islands,Rural,ATH10,No,84,33.9
BFA,Burkina Faso,Rural,ATH10,No,84,33.9
BDI,Burundi,Rural,ATH10,No,84,33.9
CPV,Cabo Verde,Rural,ATH10,Fully,58,23.4
KHM,Cambodia,Rural,ATH10,No response,28,11.3
CMR,Cameroon,Rural,ATH10,Partially,78,31.5
CAF,Central African Republic,Rural,ATH10,Partially,78,31.5
TCD,Chad,Rural,ATH10,Partially,78,31.5
CHL,Chile,Rural,ATH10,No,84,33.9
CHN,China,Rural,ATH10,Partially,78,31.5
COL,Colombia,Rural,ATH10,Fully,58,23.4
COM,Comoros,Rural,ATH10,No,84,33.9
COG,Congo,Rural,ATH10,Partially,78,31.5
CRI,Costa Rica,Rural,ATH10,Fully,58,23.4
CIV,Côte d'Ivoire,Rural,ATH10,No response,28,11.3
HRV,Croatia,Rural,ATH10,Fully,58,23.4
CUB,Cuba,Rural,ATH10,Fully,58,23.4
COD,Democratic Republic of the Congo,Rural,ATH10,No,84,33.9
DOM,Dominican Republic,Rural,ATH10,No response,28,11.3
ECU,Ecuador,Rural,ATH10,Fully,58,23.4
EGY,Egypt,Rural,ATH10,No,84,33.9
SLV,El Salvador,Rural,ATH10,No,84,33.9
ERI,Eritrea,Rural,ATH10,Partially,78,31.5
EST,Estonia,Rural,ATH10,Fully,58,23.4
ETH,Ethiopia,Rural,ATH10,Partially,78,31.5
FJI,Fiji,Rural,ATH10,Partially,78,31.5
GAB,Gabon,Rural,ATH10,No,84,33.9
GMB,Gambia,Rural,ATH10,No,84,33.9
GEO,Georgia,Rural,ATH10,Partially,78,31.5
GHA,Ghana,Rural,ATH10,No response,28,11.3
GRC,Greece,Rural,ATH10,Fully,58,23.4
GRD,Grenada,Rural,ATH10,No response,28,11.3
GTM,Guatemala,Rural,ATH10,Partially,78,31.5
GIN,Guinea,Rural,ATH10,Partially,78,31.5
GUY,Guyana,Rural,ATH10,No,84,33.9
HTI,Haiti,Rural,ATH10,No,84,33.9
HND,Honduras,Rural,ATH10,Partially,78,31.5
HUN,Hungary,Rural,ATH10,Fully,58,23.4
IDN,Indonesia,Rural,ATH10,No,84,33.9
IRN,Iran (Islamic Republic of),Rural,ATH10,Partially,78,31.5
IRQ,Iraq,Rural,ATH10,No,84,33.9
ITA,Italy,Rural,ATH10,Partially,78,31.5
JAM,Jamaica,Rural,ATH10,Partially,78,31.5
JOR,Jordan,Rural,ATH10,Partially,78,31.5
KAZ,Kazakhstan,Rural,ATH10,Fully,58,23.4
KEN,Kenya,Rural,ATH10,No,84,33.9
KWT,Kuwait,Rural,ATH10,No response,28,11.3
KGZ,Kyrgyzstan,Rural,ATH10,Partially,78,31.5
LAO,Lao People's Democratic Republic,Rural,ATH10,Partially,78,31.5
LBN,Lebanon,Rural,ATH10,Partially,78,31.5
LSO,Lesotho,Rural,ATH10,No response,28,11.3
LBR,Liberia,Rural,ATH10,No,84,33.9
MDG,Madagascar,Rural,ATH10,No,84,33.9
MWI,Malawi,Rural,ATH10,No,84,33.9
MDV,Maldives,Rural,ATH10,No,84,33.9
MLI,Mali,Rural,ATH10,Partially,78,31.5
MHL,Marshall Islands,Rural,ATH10,Fully,58,23.4
MRT,Mauritania,Rural,ATH10,Partially,78,31.5
MUS,Mauritius,Rural,ATH10,Partially,78,31.5
MEX,Mexico,Rural,ATH10,No response,28,11.3
