VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Japan,2016,55.834116192,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Japan,2017,56.961986882,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Japan,2018,57.57264967,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Japan,2019,57.78261955,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Japan,2020,54.384013743,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Japan,2021,55.798537279,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Japan,2022,56.315309251,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jordan,2015,33.491451128,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jordan,2016,32.967146259,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jordan,2017,33.249308746,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jordan,2018,33.000986031,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jordan,2019,32.962744873,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jordan,2020,32.588619558,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jordan,2021,33.295018954,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jordan,2022,34.150667523,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kazakhstan,2015,7.707896635,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kazakhstan,2016,6.983053791,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kazakhstan,2017,7.322140467,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kazakhstan,2018,7.86644503,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kazakhstan,2019,8.152947703,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kazakhstan,2020,7.636304997,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kazakhstan,2021,8.000302776,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kazakhstan,2022,7.948937233,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kenya,2015,16.467631178,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kenya,2016,13.637655628,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kenya,2017,13.927473128,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kenya,2018,14.702869732,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kenya,2019,15.372050205,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kenya,2020,15.026482713,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kenya,2021,16.359680443,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kenya,2022,17.253932999,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kuwait,2015,113.590150431,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kuwait,2016,111.957578287,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kuwait,2017,101.532143322,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kuwait,2018,103.776022338,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kuwait,2019,103.937078772,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kuwait,2020,95.947338459,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kuwait,2021,96.002383766,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kuwait,2022,104.882701415,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kyrgyzstan,2015,0.777040161,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kyrgyzstan,2016,0.796441248,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kyrgyzstan,2017,0.836812652,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kyrgyzstan,2018,0.861293505,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kyrgyzstan,2019,0.9121523,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kyrgyzstan,2020,0.857064979,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kyrgyzstan,2021,0.882133234,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Kyrgyzstan,2022,0.92947877,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Land Locked Developing Countries,2015,3.06720768,US$/m3,E,true
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Land Locked Developing Countries,2016,3.099602067,US$/m3,E,true
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Land Locked Developing Countries,2017,3.196043708,US$/m3,E,true
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Land Locked Developing Countries,2018,3.351910453,US$/m3,E,true
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Land Locked Developing Countries,2019,3.498488466,US$/m3,E,true
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Land Locked Developing Countries,2020,3.54417548,US$/m3,E,true
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Land Locked Developing Countries,2021,4.001723877,US$/m3,E,true
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Land Locked Developing Countries,2022,4.052097197,US$/m3,E,true
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Lao People's Democratic Republic,2015,1.427885703,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Lao People's Democratic Republic,2016,1.54737421,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Lao People's Democratic Republic,2017,1.749127363,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Lao People's Democratic Republic,2018,1.873922792,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Lao People's Democratic Republic,2019,1.973910628,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Lao People's Democratic Republic,2020,2.038137378,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Lao People's Democratic Republic,2021,2.081983306,US$/m3,I,false
